Date,pH
2018-11-03 10:18:43,5.5
2018-11-03 10:19:07,6.0
2018-11-03 10:19:42,7.25
2018-11-03 10:20:06,6.25
2018-11-03 10:20:30,6.0
2018-11-03 10:20:51,4.5
2018-11-03 10:22:21,7.5
